Symbol;Class;Subclass;Markers
NblM1;Neuroblast;Midbrain GABAergic;Tal2 Gpr137c Pnoc Cacna2d3 Clvs2 Tenm3
NblM2;Neuroblast;Midbrain GABAergic;Tal2 Gm10605 Pnoc Otx1 Clvs2 Nav2
NblM3;Neuroblast;Midbrain;Tal2 Fam214a Nrtn Stk33 Tmem38b Nav2
NblM4;Neuroblast;Midbrain;Tal2 Bcas1 Ascl1 Sdk2 Tmem38b Tenm3
NblF1;Neuroblast;Forebrain glutamatergic;Isl1 Pkib Cdh7 3632451O06Rik Cdkn1c Syt1
NblF2;Neuroblast;Forebrain;Dlk1 Crb1 G0s2 Zc3h12c Btg2 Srrm4
NblF3;Neuroblast;Forebrain GABAergic;Gsx1 Crb1 St18 Stk33 Pak3 Peg3
NblF4;Neuroblast;Forebrain GABAergic;Dlx1 Smox Dlx5 Stk33 Myt1 Dclk2
NblF5;Neuroblast;Forebrain GABAergic;Gsx1 Rgs8 D030055H07Rik Stk33 Cdkn1c Dcc
NblF6;Neuroblast;Forebrain GABAergic;Sp9 Arid3a Dlx5 Kcnh2 Phf21b Fbrsl1
CR1;Neuroblast;Cajal-Retzius;Mcidas 1600014C10Rik Ccno Cav2 Pidd1 Lrriq1
CR2;Neuroblast;Cajal-Retzius;Mcidas Dmrta2os Ccno Cav2 Agbl4 Lrriq1
CR3;Neuroblast;Cajal-Retzius;Mcidas Insm2 Ccno E2f7 Myb Stox1
NblMN1;Neuroblast;Motor neuron;Phox2a Rpusd3 Ppp1r17 Fam163a Snx18 Gamt
NblMN2;Neuroblast;Motor neuron;Phox2a Halr1 Nkx6-1 Kcnh2 Nhs Trim9
NblM5;Neuroblast;Midbrain;Neurog1 Wnt10a Onecut2 Prdm12 Col16a1 Tnnt1
NblM6;Neuroblast;Midbrain;Cck Ccdc182 Plk3 Sapcd1 A330009N23Rik Jag1
NblM7;Neuroblast;Midbrain;Neurog1 Nhej1 Onecut2 Tmem159 Sgpp2 Tnnt1
NblMix2;Neuroblast;Mixed region;Neurog1 Fndc3c1 Glra1 Cdc25b Spsb4 5730559C18Rik
NblH1;Neuroblast;Hindbrain;Atoh1 Ccdc182 Wnt3a Iqck Nkd1 Gprc5b
NblH2;Neuroblast;Hindbrain;Vsx1 Wdr66 Mybl1 Cdh20 Slc35d2 Crybg3
NblMix3;Neuroblast;Mixed region;Vsx1 Eya2 Alpl Hspa2 C330027C09Rik Notch1
NblH3;Neuroblast;Hindbrain;Hes2 4930557F10Rik Alpl Hspa2 Rsph1 Kif18a
NblM7;Neuroblast;Midbrain;Dbx1 Pkib Rassf4 Sdk2 Nuak2 Dcc
NblM8;Neuroblast;Midbrain;Helt Pkib Gadd45g Otx2 Nuak2 Dlgap5
NblM9;Neuroblast;Midbrain;Helt Foxa2 Nkx6-1 Cdc25b Spsb4 Heg1
NblM10;Neuroblast;Midbrain;9030622O22Rik Pik3c2b Btbd17 Sulf1 Spsb4 Heg1
NblH4;Neuroblast;Hindbrain;Neurog1 Lsp1 Plk3 Gfra1 Numbl Cog1
NblMix4;Neuroblast;Mixed region;Neurog1 Gm20083 Plk3 Galnt18 Phldb2 Crybg3
NblH5;Neuroblast;Hindbrain;Neurog1 Cxcl14 Glra1 Pgpep1 Spsb4 Iqgap2
NblH6;Neuroblast;Hindbrain;Msx3 Gm12236 Glra1 Sapcd1 Txlnb Nckap5
NblH7;Neuroblast;Hindbrain;Ptf1a Akr1b8 Nphs1 Cdc25b Spsb4 Gprc5b
NblH8;Neuroblast;Hindbrain;Kirrel2 Prdm13 Nphs1 Wnt5a Rgs3 Gprc5b
NblH9;Neuroblast;Hindbrain;Msx3 Zfp37 Glra1 Miat Chrna4 Adgrg1
NblF7;Neuroblast;Forebrain;Gm29478 Rgs13 AC154683.1 Clybl Wscd1 Dcc
NblMix5;Neuroblast;Mixed region;Neurog2 Rgs13 Grasp Zc3h12c Nuak2 Tmem2
NblF8;Neuroblast;Forebrain;Olig3 Brip1 Prkg2 Zc3h12c E2f1 Eml5
NblF9;Neuroblast;Forebrain glutamatergic;Neurog1 Mamld1 Kifc1 Sapcd2 Ube2c Ccnb1
NblF10;Neuroblast;Forebrain glutamatergic;Gmnc Dll1 Rspo3 Fam110a Hes6 Lzts1
NblF11;Neuroblast;Forebrain glutamatergic;Neurog1 Hs3st3a1 Gadd45g Zc3h12c Btg2 Lzts1
NblH10;Neuroblast;Hindbrain;Gata2 Insm2 Fam183b Gm4675 Rsph1 Pcdh17
NblMix6;Neuroblast;Mixed region;3110035E14Rik 2610008E11Rik St18 Sdk2 Sdccag8 Vat1l
NblH11;Neuroblast;Hindbrain;Vsx2 Insc Nkx6-1 Gm4675 Sox21 Rnd3
NblMix7;Neuroblast;Mixed region glutamatergic;Sim1 S100a16 Mfng Clvs1 Cacna2d1 Serping1
NblM11;Neuroblast;Midbrain glutamatergic;Sim1 Insm1 2700046A07Rik Clvs1 Myo16 Elavl4
NblM12;Neuroblast;Midbrain glutamatergic;9030622O22Rik Hepacam2 Tmem163 Pxylp1 Apcdd1 Chn2
NblH12;Neuroblast;Hindbrain;Phox2b Bcas1 Crabp1 Lmx1b Chrna4 Adgrg1
NblH13;Neuroblast;Hindbrain;Tlx3 Nexn Crabp1 Sapcd1 Chrna4 Gamt
NblH14;Neuroblast;Hindbrain;Otp Insc Lhx5 Gfra1 Csrp1 Serping1
NblH15;Neuroblast;Hindbrain glycinergic;Gm20649 Qsox1 Crabp1 Hoxb2 Chrna4 Greb1l
NblM13;Neuroblast;Midbrain;Dbx1 Grm4 Onecut2 A830018L16Rik A330009N23Rik Gamt
NblH16;Neuroblast;Hindbrain;Atoh1 Cdkn2b Rassf4 Gm16701 1700003F12Rik Fam78b
NblH17;Neuroblast;Hindbrain;Atoh1 Stpg1 Rassf4 Rab15 Nkd1 Mtcl1
NblF12;Neuroblast;Forebrain;Atp8b4 Kif19a Art1 Art5 Ankrd2 Fam107a
NblSN1;Neuroblast;Sensory neuron;Ppp1r14a Ccdc88b Six1 Bdnf A330009N23Rik Dcdc2a
NblSN2;Neuroblast;Sensory neuron;Tlx2 Fanca Synpo Mreg Gm35696 Coro2a
NblSN3;Neuroblast;Sensory neuron;Sct Bik Tuba4a Mreg Atp6v1c2 Egflam
NblSN5;Neuroblast;Sensory neuron;Tlx2 D930020B18Rik Gm7271 Mreg Acad10 Serpinb8
NblSN6;Neuroblast;Sensory neuron;Tlx2 Gm4166 Gm7271 Mreg Gm16104 Coro2a
NblSN7;Neuroblast;Sensory neuron;Isl2 Ccer2 Synpo Mreg Cerkl Cryba1
NblSN8;Neuroblast;Sensory neuron;Tlx2 Prox2 Gm7271 Dbh Cerkl Tspan2os
Nbl383;Neuroblast;Hindbrain;Lhx4 St8sia3os Ppp1r17 Frmpd1 Parm1 Angpt2
Nbl384;Neuroblast;Motor neuron;Gnat3 Insc Tbx20 Fam163a Prickle1 Mcc
Nbl385;Neuroblast;Motor neuron;Lhx4 Sema3d Tbx20 Pnlip Arhgap36 Kcnab1
Nbl386;Neuroblast;Midbrain glutamatergic;Cplx3 Prss12 Onecut2 Prdm12 Npr2 Gamt
Nbl387;Neuroblast;Midbrain glutamatergic;Onecut3 E130006D01Rik Onecut2 Tppp3 Hspa12a Rem2
Nbl388;Neuroblast;Midbrain glutamatergic;Bhlhe23 Cpne8 Onecut2 Tppp3 Esyt1 Crip1
Nbl389;Neuroblast;Sensory neuron;Isl2 Pappa2 Ppp1r17 Scn9a S100a10 Crip1
Nbl390;Neuroblast;Midbrain glutamatergic;Pitx2 Lypd1 Gm28526 Lef1 Bmp7 Enpp2
Nbl391;Neuroblast;Midbrain glutamatergic;Gm26872 Shisa6 Gm28526 3632451O06Rik Dock5 Rap1gap2
Nbl392;Neuroblast;Midbrain glutamatergic;Gm26872 Enpp3 Ppp1r17 3632451O06Rik Dock5 Rap1gap2
Nbl393;Neuroblast;Hindbrain glutamatergic;C1ql4 Chrdl1 Evx2 Nrn1 Lrrtm3 Trp53i11
Nbl394;Neuroblast;Hindbrain glutamatergic;Robo3 Cpsf7 Nefl Hoxb2 Rgmb Ina
Nbl395;Neuroblast;Hindbrain glutamatergic;Evx1os Il17ra Adcyap1 Gm16701 Rgmb Fam78b
Nbl396;Neuroblast;Hindbrain glutamatergic;Grem2 Hoxc5 Hoxb4 3632451O06Rik Hoxd3 Fam78b
Nbl397;Neuroblast;Hindbrain glutamatergic;Phox2b 9330182L06Rik Nefm Lmx1b Slc17a6 Gcnt2
Nbl398;Neuroblast;Hindbrain glutamatergic;Phox2b Gm49144 Nefm Lmx1b Nkain4 Rara
Nbl399;Neuroblast;Hindbrain glutamatergic;Nrgn Tlx1 C130021I20Rik Lmx1b Peg10 Racgap1
Nbl400;Neuroblast;Hindbrain glutamatergic;Tlx3 Gm44593 C130021I20Rik Lmx1b Cblb Garem2
Nbl401;Neuroblast;Spinal cord glutamatergic;Hoxb6 Klhl35 Hoxb4 Lmx1b Rgmb Slc8a2
